,qtdActivityPostAnswer,QtdfActivityBadgeEarned,QtdActivityCommentPosted,qtsActivityQUestionPosted,qtdANswe,qtdTotalScoreAnswer,qtdTotalBadges,QtdTotalBadgesBronze,qtdTotalBadgesSilver,qtdTotalBadgesGo,qtdComment,qtdTotalScoreCommen,qtdQuestion,QtdTotalScoreQuesdti,QtdTotalViewsQuestion,userScore,qtdCommitContributions,qtdIssueContributions,qtdPullRequestContributions,qtdPullRequestReviewContributions,qtdRepositoriesWithContributedCommits,qtdRepositoriesWithContributedIssues,qtdRepositoriesWithContributedPullRequestReviews,qtdRepositoryContributions,qtdRepositoriesWithContributedPullRequests,qtdissue,qtdIssueClosed,qtdIssueOpen,QTdtoalComentsIssue,QtdIssueReaction,qtdIssueReactionHeatr,issueReactionthumbsUP,qtsIssueReactionHooray,qtdRepository,qtdTotalStars,QtdtotalWatchers,qtdRepositoryLanguages,qtdPullRequests,qtdPullRequestsmergedAndClosed,qtdpullrequestsclosedandnotmerged,qtdpullrequestnotmergedandopen,sum(ncloc),sum(qtdBugs),sum(qtdCodeSmells),sum(qtdDuplicatedFiles),sum(qtdViolation),qtdFollowers
qtdActivityPostAnswer,1.0,0.8490254998323764,0.9274787891534799,0.7507286624289764,0.021821708572514698,0.042827247785124034,0.038970159960757735,0.04340666390940465,0.0331800839016578,0.03800991914994609,-0.0002636047807540441,0.0012379018248438812,0.004661372275074027,0.022415671826514827,0.034359485925345386,0.04813782636221364,-0.023742722633720716,0.00951124372677822,1.2138397843943804e-05,-0.006503430687958247,-0.004202429908043814,-0.006261722569263238,-0.00940900472614704,0.023709043011810555,0.0071920436698366015,-0.02838365963822264,-0.00052262266496171,-0.07431344431598577,0.014209825284659198,-0.029835025249228566,-0.02582498651424438,-0.031248722453001327,-0.00491292926284928,0.017170335930898166,-0.027441790346604333,-0.04361834183427311,0.0337063867457109,0.018227017056572016,0.011735641793791787,0.06112626403187546,-0.03674598429186045,0.04639862387692821,-0.012583074728645002,-0.011777456896689093,0.01466385274363428,-0.012364515506295517,-0.005194474924008954
QtdfActivityBadgeEarned,0.8490254998323764,1.0,0.6336094812317559,0.5891319257816868,0.05572639024124762,0.08417017477167126,0.08029018783968962,0.08408450008308935,0.07429548244228495,0.07995794701726239,0.02423244506558042,0.02658013215816554,0.020443180138229752,0.057994761821255764,0.07351107278819072,0.08863656601035547,-0.03595409364023139,-0.009371824526806996,-0.0024824653003443138,-0.020431978122724397,-0.01087763481031139,-0.012904268098199261,-0.013522547344061739,0.009306985460654612,0.007508435557425527,-0.041176801020842604,-0.01624506304438793,-0.07402519161506359,0.02819075818223206,-0.01128811087243102,-0.018308732618114876,-0.01212962556781526,0.006523094064258873,0.013230286732051146,-0.03598540121941403,-0.052665996899110036,0.021163418778130827,0.016026129760534906,0.010987597412610113,0.0507851980831885,-0.03155909701457015,0.0004250043066443477,-0.014117657925733587,-0.016395285157006084,-0.0032789527616535457,-0.014833887753225453,-0.019582282185227264
QtdActivityCommentPosted,0.9274787891534799,0.6336094812317559,1.0,0.6886856570224329,-0.0032384396211273254,0.003292663126882801,0.005791449528326009,0.010557598415339852,0.0008110469003287367,0.0014358503928339193,-0.01218104494732089,-0.01375826846486526,-0.003296988775169534,-0.005880150169327677,0.003505649230248067,0.017380686047289595,-0.010594947047573971,0.02847659636899221,0.011044637066003147,0.005462610989587447,0.006057696412503504,0.006542169313973848,0.0038527378804395227,0.027671692810213692,0.014478346806435255,-0.015582795486946993,0.008484787923462682,-0.0599330555480471,0.003967572546120989,-0.039817619851055766,-0.0240054759245675,-0.041267384714602263,-0.015060167957483455,0.002718403892353974,-0.018380540917313094,-0.03302110952031283,0.024034050298546092,0.028402881519371165,0.01988382623022932,0.07382090917456266,-0.026954446786060553,0.06204742882515697,-0.01139677006487458,-0.008710873051158143,0.022644106886481052,-0.010607662138322095,0.0014541788881285392
qtsActivityQUestionPosted,0.7507286624289764,0.5891319257816868,0.6886856570224329,1.0,0.006514293268753472,-0.0019284102987748037,-0.007993107400675131,-0.0034646785897328265,-0.0119155836222066,-0.015697189382752982,-0.007533205026686611,-0.01313596716164994,-0.006673421843069374,-0.013858986814866218,-0.011460812180028158,0.0007814673543165643,0.0014890073974928395,0.007417133747309234,0.007211934950083939,0.022484097241171126,0.017803458979266,0.008960815084492315,0.007741492510745125,0.023847345316336786,0.014609994226791037,-0.005222983114693883,0.025869230834773705,-0.07031540910048237,0.017644529750164936,-0.02119712747680428,0.0015309748087894725,-0.02851106435942436,0.01882765206183565,0.05085548450773054,0.009647227863677004,-0.00417219395375447,0.06793089786340861,0.03341228160355323,0.03233489243850727,0.05716734523733102,-0.04136221177367001,0.07333807612655469,-0.011381918491333338,-0.007530340484626905,0.037795464210212286,-0.010239694327146946,0.03732095165048287
qtdANswe,0.021821708572514698,0.05572639024124762,-0.0032384396211273254,0.006514293268753472,1.0,0.8321713290188575,0.7133386031601001,0.7150163070559009,0.7144272686083677,0.5940156690270855,0.9428092144833756,0.8300261599588085,0.4328079221619034,0.5419358973188,0.48043548819300047,0.8594920607231716,0.007082274471760411,0.009304198785189038,-0.016581332852040165,-0.031457670616515596,-0.007862456302103743,0.025316640922139772,-0.028825064669127126,0.00967172085681475,-0.018792990645245335,0.028640788728755945,0.008874527375573805,0.05677820408699194,0.03846123128283929,0.011503395598192738,-0.015805528310092732,0.016907407041512546,-0.011803941850567134,0.021382661074114406,-0.0021444784961818252,-0.00039482204558382265,0.03319822673285719,-0.02456481748186317,-0.02339501986373161,-0.021077110667116317,-0.014092860038617282,-0.007854255112978915,-0.005535199753141398,-0.0071374150490316176,0.006364826637015009,-0.00603103804458401,-0.016499082807729295
qtdTotalScoreAnswer,0.042827247785124034,0.08417017477167126,0.003292663126882801,-0.0019284102987748037,0.8321713290188575,1.0,0.8867790651623157,0.8644036445471789,0.9107517202563334,0.7764337551786202,0.8351013070512239,0.927485127269695,0.5012226457306125,0.7512816115287269,0.6499148560733625,0.8040937861201527,-0.0143120275214949,-0.00998844588938427,-0.0174147498461585,-0.024255085315199376,-0.021020065430231962,0.009232079007512965,-0.021830979761678023,-0.008984287928146106,-0.01837423448992025,0.011228749781075076,-0.004006781762006448,0.03859022428975115,0.03369985744102647,0.009622584207751781,-0.015910773781129896,0.016836328863369766,-0.010313134899203377,-0.008011104237607312,-0.004508530020469958,-0.003530001397016236,-0.007640491567965902,-0.02242886829245002,-0.02001910792622099,-0.020841535208804482,-0.019966438906834024,-0.0031516692720752323,-0.003614204205108618,-0.00476327362366805,0.007663584387849217,-0.0039692209875470605,-0.018265632179326356
qtdTotalBadges,0.038970159960757735,0.08029018783968962,0.005791449528326009,-0.007993107400675131,0.7133386031601001,0.8867790651623157,1.0,0.9948592569343633,0.9931564049420263,0.9471364879672712,0.782275384542175,0.8666649502075348,0.7739889708981063,0.9188577761118124,0.8801890008013615,0.8591671062857256,-0.011748933218791377,-0.011799368988007314,-0.020013113699695623,-0.03360822585040506,-0.015332159997170816,0.005153246524795493,-0.02869931845924944,-0.008527197643884784,-0.019733635965488595,0.0025538782934712667,-0.022647196001349717,0.056191493534824284,0.014818067707419016,0.005040055908602655,-0.016822503574657283,0.0082385033535744,0.023198696873290795,-0.018170506728075835,0.004364391670542042,-0.008664040696378396,-0.025523858269952772,-0.026342331037905092,-0.027220907743672175,-0.02635381990761089,0.008682673391294455,-0.006817350455964464,-0.00017201441698070236,-0.0016865596334890813,0.0018685954177084013,-0.0006306661169723017,-0.014582931322404015
QtdTotalBadgesBronze,0.04340666390940465,0.08408450008308935,0.010557598415339852,-0.0034646785897328265,0.7150163070559009,0.8644036445471789,0.9948592569343633,1.0,0.9772101795491337,0.9354619932407294,0.7823140141657212,0.8438498547005846,0.7906772228014589,0.9026729111854442,0.8723690418127716,0.8755248984774646,-0.00810144577973116,-0.00694446358235152,-0.01908021374967411,-0.036067571540365696,-0.014979327887412703,0.00696891664045435,-0.029782992596710637,-0.011297173680647829,-0.020849706887034365,0.0004087570484530523,-0.02569889538927879,0.05714597890363477,0.01396736289036219,0.004618847693261079,-0.016833197181245072,0.007156021005605248,0.02587933536078475,-0.01814051613196312,0.002798470276400474,-0.010645487626781597,-0.02587068459343487,-0.02896042609762347,-0.029824371896560717,-0.02854976593963916,0.00792088520805124,-0.005418103712729302,0.0054571991165907096,0.0038715230881098284,0.004323480048272578,0.004988421971105132,-0.014881955052986416
qtdTotalBadgesSilver,0.0331800839016578,0.07429548244228495,0.0008110469003287367,-0.0119155836222066,0.7144272686083677,0.9107517202563334,0.9931564049420263,0.9772101795491337,1.0,0.9331991958341819,0.7805944721829412,0.8912641640907957,0.7295033146745953,0.9128629776315254,0.8579717472982782,0.8372048499945658,-0.01649512182754769,-0.016269520577476215,-0.020674211442187257,-0.03103610420975724,-0.01607297604609248,0.0053443598290135235,-0.027140452180172966,-0.005417912225222667,-0.018054817824780703,0.0036593786828586464,-0.01967583888918637,0.0526485978359926,0.017011788184406365,0.00422352190879404,-0.016947077788337758,0.008324439025173602,0.016224769722250496,-0.0194862502157242,0.004921110850438686,-0.007012318423798096,-0.02562743365255818,-0.024015660203531294,-0.02471172049374879,-0.02395287305742218,0.006969579871663599,-0.007436064942328257,-0.005910849120659463,-0.007416041751408423,0.0021610622362828557,-0.006378215729258115,-0.01441599685880715
qtdTotalBadgesGo,0.03800991914994609,0.07995794701726239,0.0014358503928339193,-0.015697189382752982,0.5940156690270855,0.7764337551786202,0.9471364879672712,0.9354619932407294,0.9331991958341819,1.0,0.6847208002653152,0.7583155971015698,0.8358582153921981,0.9573116351400762,0.9680354015244178,0.7604709097910466,-0.006557420043201189,-0.017831188785381785,-0.02003908192661149,-0.027126895371105193,-0.010967723361306187,-0.010944855942192864,-0.026774524899915386,-0.006722607518760597,-0.01960717118200994,0.011430166342869365,-0.01576908446647157,0.06478385053736326,0.004630451163299339,0.013096980626510725,-0.013568316695613612,0.014923783124042479,0.04601474387677045,-0.007042911463503358,0.012178536935886934,-0.003171672829442219,-0.01859320146099205,-0.017987531403250198,-0.02008395814942214,-0.02177450921351203,0.024901941617449023,-0.012580371265411634,-0.005306901587885675,-0.006121773109614245,-0.019418294836885373,-0.005564738147214892,-0.01135890304574332
