id;qtdCommitContributions;qtdIssueContributions;qtdPullRequestContributions;qtdPullRequestReviewContributions;qtdRepositoriesWithContributedCommits;qtdRepositoriesWithContributedIssues;qtdRepositoriesWithContributedPullRequestReviews;qtdRepositoryContributions;qtdRepositoriesWithContributedPullRequests;qtdissue;qtdIssueClosed;qtdIssueOpen;QTdtoalComentsIssue;avgIssueComment;QtdIssueReaction;qtdIssueReactionHeatr;issueReactionthumbsUP;qtsIssueReactionHooray;qtdRepository;qtdTotalStars;avgQtdSTartRepository;QtdtotalWatchers;avgQtdWatchersRepository;qtdRepositoryLanguages;qtdPullRequests;qtdPullRequestsmergedAndClosed;qtdpullrequestsclosedandnotmerged;qtdpullrequestnotmergedandopen;sum(ncloc);avg(ncloc);avg(qtdBugs);sum(qtdBugs);sum(qtdCodeSmells);avg(qtdCodeSmells);avg(reliabilityRating);sum(qtdDuplicatedFiles);avg(qtdDuplicatedFiles);sum(commentLinesDensity);avg(commentLinesDensity);sum(fileComplexity);avg(fileComplexity);sum(qtdViolation);avg(manutenibilityRating);avg(securityRating);qtdFollowers;Expertise
6;46;5;3;0;5;3;0;3;3;100;68;32;238;2.38;2;0;2;0;100;146;1.46;102;1.02;250;43;15;12;16;1570;785;0.5;1;47;23.5;2;2;1;17.19999981;8.599999905;18.69999981;9.349999905;48;1;1;44;2
9;88;2;10;3;8;1;1;0;8;22;15;7;33;1.5;11;0;9;0;12;481;40;40;3.3333;24;37;34;2;1;1190;1190;0;0;11;11;1;0;0;33.90000153;33.90000153;2.5;2.5;11;1;1;46;1
10;19;2;1;1;4;1;1;5;1;100;90;10;559;5.59;112;3;91;17;100;4401;44;226;2.26;191;250;115;84;51;8811;8811;19;19;227;227;3;5;5;8.100000381;8.100000381;30.5;30.5;246;1;1;477;3
22;0;0;1;0;0;0;0;1;1;16;9;7;6;0.375;3;0;3;0;7;264;38;22;3.1429;37;5;4;1;0;6458;6458;13;13;165;165;3;5;5;32.59999847;32.59999847;7.5;7.5;178;1;1;19;3
23;1669;9;223;8;19;6;5;7;11;100;79;21;292;2.92;0;0;0;0;82;7811;95;487;5.939;202;151;120;20;11;6654;6654;0;0;46;46;1;4;4;10.39999962;10.39999962;14.19999981;14.19999981;46;1;1;394;1
29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;430;29;66;4.4;75;2;1;0;1;1970;1970;2;2;146;146;5;4;4;31.29999924;31.29999924;15.69999981;15.69999981;148;1;1;41;5
39;277;1;2;15;24;1;4;1;2;100;92;8;333;3.33;0;0;0;0;100;2263;23;116;1.16;187;301;234;44;23;1570;785;0;0;8;4;1;0;0;2.599999905;1.299999952;15.70000029;7.850000143;8;1;1;208;1
41;8;1;0;0;2;1;0;1;0;5;4;1;6;1.2;0;0;0;0;22;771;35;61;2.7727;34;14;8;3;3;355;355;0;0;6;6;1;0;0;9.899999619;9.899999619;4.5;4.5;6;1;1;108;1
60;10;1;0;0;2;1;0;3;0;17;13;4;65;3.8235;120;24;96;0;21;461;22;41;1.9524;34;4;3;0;1;52;52;0;0;3;3;1;0;0;3.700000048;3.700000048;2;2;3;1;1;152;1
61;816;107;80;133;34;7;15;15;12;100;70;30;512;5.12;230;9;211;4;100;87247;872;1943;19.43;249;1232;912;162;158;153;153;1;1;1;1;3;0;0;0.600000024;0.600000024;4.300000191;4.300000191;2;1;1;16198;3
71;7;3;0;0;1;3;0;12;0;39;19;20;43;1.1026;1;0;1;0;100;272;2.72;100;1;271;11;1;1;9;3202;3202;2;2;100;100;3;6;6;43.59999847;43.59999847;104.1999969;104.1999969;102;1;1;23;3
79;463;9;29;8;28;4;3;16;10;93;70;23;153;1.6452;12;0;5;0;92;4358;47;441;4.7935;244;430;363;57;10;73;73;0;0;0;0;1;0;0;0;0;8.5;8.5;0;1;1;1469;1
103;92;17;67;18;6;1;1;3;3;100;83;17;115;1.15;0;0;0;0;100;1134;11.34;157;1.57;200;1226;1131;83;12;12126;3031.5;25;100;303;75.75;2;8;2;63;15.75;190.6000023;47.65000057;403;1.25;1;203;2
120;677;4;1;1;14;4;1;8;1;100;100;0;16;0.16;0;0;0;0;100;1549;15;153;1.53;179;82;16;32;34;234;234;0;0;3;3;1;0;0;29.5;29.5;16.5;16.5;3;1;1;344;1
121;1361;205;72;22;94;52;11;30;29;100;49;51;212;2.12;3;0;3;0;100;11339;113;285;2.85;186;1250;700;387;163;1171;585.5;2;4;12;6;2;0;0;14.60000038;7.300000191;12.20000017;6.100000083;16;1;1;8130;2
