qtdActivityPostAnswer;QtdfActivityBadgeEarned;QtdActivityCommentPosted;qtsActivityQUestionPosted;qtdANswe;qtdTotalScoreAnswer;avgScoreANsw;qtdTotalBadges;QtdTotalBadgesBronze;qtdTotalBadgesSilver;qtdTotalBadgesGo;qtdComment;qtdTotalScoreCommen;AvgScoreCommen;qtdQuestion;QtdTotalScoreQuesdti;avgScoreQuesti;QtdTotalViewsQuestion;avgQTdViewsQUesti;userScore;qtdCommitContributions;qtdIssueContributions;qtdPullRequestContributions;qtdPullRequestReviewContributions;qtdRepositoriesWithContributedCommits;qtdRepositoriesWithContributedIssues;qtdRepositoriesWithContributedPullRequestReviews;qtdRepositoryContributions;qtdRepositoriesWithContributedPullRequests;qtdissue;qtdIssueClosed;qtdIssueOpen;QTdtoalComentsIssue;avgIssueComment;QtdIssueReaction;qtdIssueReactionHeatr;issueReactionthumbsUP;qtsIssueReactionHooray;qtdRepository;qtdTotalStars;avgQtdSTartRepository;QtdtotalWatchers;avgQtdWatchersRepository;qtdRepositoryLanguages;qtdPullRequests;qtdPullRequestsmergedAndClosed;qtdpullrequestsclosedandnotmerged;qtdpullrequestnotmergedandopen;sum(ncloc);avg(ncloc);avg(qtdBugs);sum(qtdBugs);sum(qtdCodeSmells);avg(qtdCodeSmells);avg(reliabilityRating);sum(qtdDuplicatedFiles);avg(qtdDuplicatedFiles);sum(commentLinesDensity);avg(commentLinesDensity);sum(fileComplexity);avg(fileComplexity);sum(qtdViolation);avg(manutenibilityRating);avg(securityRating);qtdFollowers
4;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;46;5;3;0;5;3;0;3;3;100;68;32;238;2,38;2;0;2;0;100;146;1,46;102;1,02;250;43;15;12;16;1570;785;0,5;1;47;23,5;2;2;1;17,2;8,6;18,7;9,35;48;1;1;44
0;0;0;0;1;3;3;4;4;0;0;0;0;0;0;0;0;0;0;5;88;2;10;3;8;1;1;0;8;22;15;7;33;1,5;11;0;9;0;12;481;40;40;3,33;24;37;34;2;1;1190;1190;0;0;11;11;1;0;0;33,9;33,9;2,5;2,5;11;1;1;46
2;2;0;0;2;3;1,5;10;10;0;0;12;1;0,08;5;8;1,6;2974;594,8;11;19;2;1;1;4;1;1;5;1;100;90;10;559;5,59;112;3;91;17;100;4401;44;226;2,26;191;250;115;84;51;8811;8811;19;19;227;227;3;5;5;8,1;8,1;30,5;30,5;246;1;1;477
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;16;9;7;6;0,38;3;0;3;0;7;264;38;22;3,14;37;5;4;1;0;6458;6458;13;13;165;165;3;5;5;32,6;32,6;7,5;7,5;178;1;1;19
1;1;0;0;2;3;1,5;1;1;0;0;2;0;0;0;0;0;0;0;3;1669;9;223;8;19;6;5;7;11;100;79;21;292;2,92;0;0;0;0;82;7811;95;487;5,94;202;151;120;20;11;6654;6654;0;0;46;46;1;4;4;10,4;10,4;14,2;14,2;46;1;1;394
6;3;1;0;7;8;1,14;25;19;6;0;46;5;0,11;35;26;0,74;24291;694,03;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;430;29;66;4,4;75;2;1;0;1;1970;1970;2;2;146;146;5;4;4;31,3;31,3;15,7;15,7;148;1;1;41
6;3;2;1;1;0;0;7;6;1;0;3;0;0;7;13;1,86;6112;873,14;11;277;1;2;15;24;1;4;1;2;100;92;8;333;3,33;0;0;0;0;100;2263;23;116;1,16;187;301;234;44;23;1570;785;0;0;8;4;1;0;0;2,6;1,3;15,7;7,85;8;1;1;208
0;0;0;0;5;0;0;11;10;1;0;23;1;0,04;14;11;0,79;8476;605,43;51;8;1;0;0;2;1;0;1;0;5;4;1;6;1,2;0;0;0;0;22;771;35;61;2,77;34;14;8;3;3;355;355;0;0;6;6;1;0;0;9,9;9,9;4,5;4,5;6;1;1;108
0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;-1;-1;33;33;3;10;1;0;0;2;1;0;3;0;17;13;4;65;3,82;120;24;96;0;21;461;22;41;1,95;34;4;3;0;1;52;52;0;0;3;3;1;0;0;3,7;3,7;2;2;3;1;1;152
0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;5;816;107;80;133;34;7;15;15;12;100;70;30;512;5,12;230;9;211;4;100;87247;872;1943;19,43;249;1232;912;162;158;153;153;1;1;1;1;3;0;0;0,6;0,6;4,3;4,3;2;1;1;16198
0;0;0;0;1;3;3;4;4;0;0;1;0;0;2;1;0,5;259;129,5;10;7;3;0;0;1;3;0;12;0;39;19;20;43;1,1;1;0;1;0;100;272;2,72;100;1;271;11;1;1;9;3202;3202;2;2;100;100;3;6;6;43,6;43,6;104,2;104,2;102;1;1;23
